id,title,location,location_status,status,year,area,bathrooms,bedrooms,heating_type,energy_class,price
W-02QPK3,Ático a 3 vientos con gran terraza en Eixample ,Eixample  Sant Antoni ,Excelente,Necesitarestauración,1975,203m²,2,5,BombadecalorGas,,990.000EUR
W-02QHVR,Espectacular finca modernista en Eixample Dret ,Eixample  Eixample Dreta ,Muybien,Bien,,191m²,2,4,Gas,E,885.000EUR
W-02QM6E,Dúplex rehabilitado a estrenar en Sant Martí ,SANT MARTIN  Sant Martí de Provençals ,Muybien,Renovado,1981,125m²,2,2,Bombadecalor,E,329.000EUR
W-02QG0H,Exclusivo piso familiar en el Guinardó ,Horta Guinardó  El Guinardó ,Muybien,Muybien,,108m²,2,4,Gas,,600.000EUR
W-02QPN1,Bonito piso en Sarrià con parquin y terraza ,Sarria  Sta. Amelia ,Excelente,Bien,1964,73m²,2,2,Gas,G,480.000EUR
W-02QCSB,Soleada vivienda con terraza en Avinguda Sarriá ,Sant Gervasi  Tres Torres ,Excelente,Necesitarenovaciones,1967,137m²,3,4,Gas,,830.000EUR
W-02QNPD,Piso ideal para inversores ,Sant Just - Esplugues  Esplugues - Otras ,Bien,Bien,1975,74m²,1,3,Bombadecalor,G,280.000EUR
W-02QO2O,Fantástico dúplex de 3 habitaciones con terraza ,Les Corts  Les corts ,Excelente,,2016,150m²,3,3,,,495.000EUR
W-02QPZ4,Soleado piso alto reformado en Eixample ,Eixample  Sant Antoni ,,,1975,63m²,1,2,,E,358.000EUR
W-02QHE3,Estupendo ático con terraza de 30m² ,Sant Just - Esplugues  Esplugues - Otras ,Excelente,Muybien,1969,125m²,2,3,Gas,G,395.000EUR
W-02QG59,Piso muy luminoso con vistas al mar! ,SANT MARTIN  La Vila Olímpica del Poblenou ,,,1992,140m²,2,4,Gas,,845.000EUR
W-02QBQ4,Ático dúplex con terraza en Vila de Gràcia ,Gracia  Vila de Gracia ,,Muybien,1910,63m²,1,2,,G,360.000EUR
W-02QONH,Fántastico piso reformado en el centro ,Maresme  Arenys de Mar ,Excelente,Excelente,1991,95m²,1,3,Gas,E,225.000EUR
W-02OCZR,Precioso piso con vistas al mar  Tiana ,Maresme  Tiana ,Muybien,Muybien,2009,79m²,2,3,Gas,E,380.000EUR
W-02PUB4,Piso alto y soleado cerca de Plaza Kennedy ,Sant Gervasi  Putget ,Muybien,Necesitarenovaciones,1980,100m²,2,4,Gas,,555.000EUR
W-02QLTF,Luminoso piso con vistas al parque ,Sant Gervasi  Putget ,Excelente,Muybien,1966,100m²,2,3,Gas,,520.000EUR
W-02QP32,Amplio piso en La Verneda i La Pau ,SANT MARTIN  La Verneda i la Pau ,,,,127m²,1,2,Gas,,165.000EUR
W-02QLY0,Piso alto y luminoso en Galvany ,Sant Gervasi  Galvany ,Muybien,Muybien,1964,350m²,5,5,Gas,E,1.995.000EUR
W-02QNXD,Piso a reformar en Provençals del Poblenou ,SANT MARTIN  Provençals del Poblenou ,,,,67m²,2,3,,,240.000EUR
W-02QOEL,Piso de tres habitaciones en Eixample Dret ,Eixample  Eixample Dreta ,Excelente,Excelente,1900,156m²,2,3,Gas,E,1.100.000EUR
W-02QM16,Apartamento cerca de la playa in Barceloneta ,Ciutat Vella  Barceloneta ,,,1921,44m²,1,2,,,220.000EUR
W-02PGVX,Céntrico piso funcional en Eixample Esquerra ,Eixample  Eixample Esquerra ,Muybien,Muybien,1981,89m²,2,3,BombadecalorGas,E,399.000EUR
W-02QMAA,Precioso piso al lado del mar en Barceloneta ,Ciutat Vella  Barceloneta ,Muybien,Bien,1900,32m²,1,1,,E,240.000EUR
W-02M9RM,Gran piso alto y luminoso en Gràcia ,Gracia  Vila de Gracia ,Excelente,Excelente,1944,123m²,2,3,Gas,E,570.000EUR
W-02QNJ0,Piso Alto y luminoso en la zona de Sants ,Sants - Montjuïc  La Bordeta ,Muybien,Bien,1967,73m²,1,4,,,250.000EUR
W-02QLR4,Encantador piso a estrenar en Vila de Gràcia ,Gracia  Vila de Gracia ,Excelente,Excelente,1932,79m²,1,3,Gas,E,445.000EUR
W-02QL35,Impresionante apartamento frente al mar ,SANT MARTIN  Diagonal Mar i El Front Marítim del Poblenou ,Excelente,Excelente,2009,115m²,2,3,Bombadecalor,E,1.790.000EUR
W-02QPRX,Bonito apartamento en Diagonal Mar ,SANT MARTIN  Diagonal Mar i El Front Marítim del Poblenou ,Excelente,Excelente,2003,96m²,1,2,,E,595.000EUR
W-02NYDG,Piso reformado en Hospital Clínic ,Eixample  Eixample Esquerra ,Excelente,,1965,88m²,1,2,,E,395.000EUR
W-02QFH7,Gran piso en calle Córcega ,Gracia  Camp d'en Grassot ,Excelente,Regular,1959,167m²,2,3,Gas,E,730.000EUR
W-02QIZ0,Exclusiva propiedad junto Av Madrid ,Sants - Montjuïc  SantS ,Excelente,,,146m²,2,4,,,680.000EUR
W-02QPI1,Piso con piscina y parking  El Masnou ,Maresme  Masnou ,Muybien,Muybien,2006,105m²,2,3,Gas,F,550.000EUR
W-02NUYL,Acogedor principal con amplia terraza en Londres ,Eixample  Eixample Esquerra ,Excelente,Muybien,1920,221m²,3,4,Gas,,1.350.000EUR
W-02QPK4,Espectacular piso ideal para Golden Visa ,Eixample  Sagrada Familia ,Excelente,Excelente,1970,103m²,1,2,Gas,,515.000EUR
W-02QBIW,Dúplex con encanto en Poblenou ,SANT MARTIN  El Parc i La Llacuna del Poblenou ,Excelente,Excelente,1918,186m²,3,3,Gas,E,755.000EUR
W-02Q715,Estupendo piso a reformar cerca Francesc Macià ,Les Corts  Les corts ,Excelente,Necesitarenovaciones,1954,108m²,2,3,,,535.000EUR
W-02Q71B,Piso a reformar cerca de Francesc Macià ,Les Corts  Les corts ,Excelente,Necesitarenovaciones,1954,93m²,2,3,,,450.000EUR
W-02Q71C,Piso a reformar cerca de Francesc Macià ,Les Corts  Les corts ,Excelente,Necesitarenovaciones,1954,69m²,1,3,,,380.000EUR
W-02Q71G,Piso a reformar cerca de Francesc Macià ,Les Corts  Les corts ,Excelente,Necesitarenovaciones,1954,117m²,2,3,,,660.000EUR
W-02Q71H,Piso a reformar con magnífica terraza ,Les Corts  Les corts ,Excelente,Necesitarenovaciones,1954,137m²,1,3,,,690.000EUR
W-02Q71J,Magnífico piso con gran terraza en Les Corts ,Les Corts  Les corts ,Excelente,Necesitarestauración,1954,263m²,4,5,,,1.400.000EUR
W-02QL3S,Piso exterior con balcón en calle Lepant ,Horta Guinardó  Baix Guinardó ,Bien,,1971,57m²,1,3,Bombadecalor,E,280.000EUR
W-02QFMT,Bonito piso en elegante finca de Rambla Catalunya ,Eixample  Eixample Dreta ,Excelente,Muybien,1900,182m²,2,5,Gas,E,1.450.000EUR
W-02QL3D,Luminoso piso a reformar en Montbau ,Horta Guinardó  Montbau ,,Necesitarenovaciones,1960,56m²,1,3,Gas,F,175.000EUR
W-02QLE6,Piso luminoso y reformado junto a Sant Pau ,Horta Guinardó  Baix Guinardó ,Bien,,1963,55m²,1,2,,G,289.000EUR
W-02QL7L,Elegante piso con terraza en el Born ,Ciutat Vella  Born-Ribera ,Excelente,Excelente,1936,213m²,2,3,Gas,D,995.000EUR
W-0293XW,Piso semi nuevo al lado de la playa ,SANT MARTIN  El Poblenou ,Excelente,Muybien,2005,66m²,2,2,Gas,E,398.000EUR
W-02QLR8,Piso reformado con balcón en Rosselló ,Eixample  Sagrada Familia ,Excelente,Excelente,1973,71m²,1,3,Gas,E,360.000EUR
